CODEX_ID,PD1,pH2AX,CD8A,CD3,CD4,CD11B,MHCII,LY6C,PDL1,KI67,CD44,CD19,CD45,CD24,SCAI,F4.80,ATPase,ENDOMUCIN
CODEX_5085,369.8052995,1729.808756,0.002304147,0,0,10.01612903,100.2050691,0,111.171659,300.7788018,56.37903226,0,419.1958525,102.2569124,40.62096774,0,105.812212,61.30875576
CODEX_5086,206.344697,218.6856061,0,0,0,0.151515152,97.75,0,146.3636364,175.0719697,70.96212121,0,251.7878788,91.99242424,31.45454545,0,978.9886364,298.844697
CODEX_5087,349.7169811,746.7783019,0.521226415,0,0,9.58490566,101.1698113,0,108.5377358,373.2853774,59.72641509,0,362.4929245,111.7169811,339.2051887,0,234.6745283,86.0495283
CODEX_5088,165.2230539,143.7634731,2.27245509,0,0,0,83.75748503,0,122.8922156,59.8008982,54.19461078,0,87.58832335,82.42964072,35.85628743,0,370.75,552.4760479
CODEX_5089,174.9655172,434.8936782,0,0,0,0,94.90804598,0,66.34195402,43.32183908,58.39655172,0,182.3735632,81.12356322,62.89367816,0,224.204023,53.74137931
CODEX_5090,169.3430233,230.75,0,0,0,0,88.91860465,0,125.5726744,100.4796512,66.44767442,0,154.7034884,92.13662791,120.7703488,0,1287.444767,261.1075581
CODEX_5091,148.1069079,157.1595395,184.6217105,0,0,3.230263158,96.46710526,6.148026316,95.73684211,43.72203947,76.32894737,1.976973684,494.4786184,77.23190789,21.08388158,204.15625,604.4753289,753.9375
CODEX_5092,355.9156805,1184.16716,0,0,0,2.159763314,168.2869822,0,133.9940828,369.4008876,59.22781065,0,617.9423077,97.9112426,91.72485207,0.650887574,235.4615385,118.4763314
CODEX_5093,324.4141791,1565.240672,1.809701493,0,0,36.43843284,106.9570896,0,115.75,431.4141791,56.12873134,0,548.738806,98.46455224,42.75932836,0,65.36940299,50.88246269
CODEX_5094,193.4308511,324.3031915,0,0,0,0,87.64361702,0,62.84574468,59.84042553,57.12765957,0,95.19148936,92.05319149,36.81914894,0,111.7819149,56.43085106
CODEX_5095,160.323741,181.721223,0,0,0,0,84.78597122,0,106.3543165,50.20863309,46.00179856,0,117.2374101,89.17805755,27.72122302,0,558.705036,589.4982014
CODEX_5096,169.0106383,207.6156915,3.85106383,0,0,0,117.8843085,0,151.1316489,35.37632979,51.92952128,0,137.0545213,79.42952128,45.35904255,0,546.2726064,1253.9375
CODEX_5097,279.8032787,354.6065574,0,0,0,0,253.647541,0,186.4221311,52.31557377,202.2172131,0,847.5696721,88.17622951,242.7418033,23.18442623,865.6557377,179.4180328
CODEX_5098,131.5595238,223.4761905,0,0,0,0,87.64285714,0,56.05952381,28.72619048,51.86904762,0,85.17857143,79.20238095,34.9047619,0,152.8809524,30.6547619
CODEX_5099,349.4774678,916.722103,0.302575107,0,0,0,89.67167382,0,75.15879828,97.31223176,62.24356223,0,178.223176,86.45600858,51.02038627,0,124.3015021,63.65879828
CODEX_5100,198.3761682,279.9602804,78.36682243,0,0,17.36682243,171.0957944,0,233.661215,168.5560748,127.8271028,6.261682243,653.0584112,79.6588785,38.92523364,46.59345794,707.9369159,393
CODEX_5101,221.2578125,266.7734375,0.802455357,0,0,0,85.92075893,0,163.8359375,56.51674107,56.54241071,0,152.6908482,84.41852679,43.75446429,0,541.1283482,990.5848214
CODEX_5102,226.3174603,368.0753968,3.194444444,0,0,0,101.0555556,0,77.72222222,38.72619048,57.8531746,0,95.15079365,79.34920635,59.57936508,0,142.4007937,186.4047619
CODEX_5103,147.1275,625.0475,0.165,0,0,0.49,95.3675,0,69.4725,126.5625,46.4425,0,260.245,94.6725,29.4025,0,79.4675,35.5375
CODEX_5104,129.7054455,340.1782178,28.0990099,1.381188119,5.086633663,18.12376238,89.02970297,1.084158416,120.8242574,158.4950495,53.07425743,8.886138614,268.7945545,80.72524752,46.58168317,9.834158416,559.8118812,386.5643564
CODEX_5105,169.0423077,191.9807692,0,0,0,0,83.88461538,0,55.94615385,41.87307692,50.21538462,0,91.85384615,71.80769231,18.14615385,0,177.5807692,87.82692308
CODEX_5106,182.6833333,195.8944444,0,0,0,0,204.7833333,0,146.5888889,56.77222222,156.0111111,0,817.1055556,93.32222222,29.93333333,181.8055556,642.8055556,134.2611111
CODEX_5107,165.6623711,738.1778351,0.020618557,0,0,0,85.83505155,0,57.18814433,48.68041237,57.95618557,0,115.3247423,85.74484536,25.62628866,0,102.9201031,48.3556701
CODEX_5108,361.468,1118.05,0,0,0,0,90.214,0,104.612,236.272,52.114,0,363.454,100.752,295.182,0,207.576,84.804
CODEX_5109,265.8483607,928.6864754,0,0,0,1.979508197,82.75204918,0,78.60040984,219.1413934,60.20286885,0,215.2745902,88.2192623,150.6147541,0,352.3893443,85.63319672
CODEX_5110,146.7046569,153.3492647,0,0,0,0,80.81004902,0,117.0465686,74.67156863,42.44240196,0,181.7487745,83.64093137,34.88112745,0,731.6053922,1055.863971
CODEX_5111,162.3351852,120.9592593,10.55740741,0,0.381481481,4841.088889,259.512963,9.172222222,115.1888889,57.74814815,109.3185185,0,1036.648148,315.1185185,164.7574074,20.69074074,598.037037,772.0351852
