CODEX_ID,DAPI-01,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample
CODEX_14061,23602.07337,1942.478261,3808.913043,368,21.96722714,21.49032634,0.207238968,0.936386768,0.760330579,1.392265035,D0_batch_2_Sample
CODEX_14062,32381.95732,2121.621951,3806.036585,328,21.56443773,19.73936385,0.402621626,0.908587258,0.745454545,-1.353401913,D0_batch_2_Sample
CODEX_14063,11370.38415,2284.865854,3808.865854,328,24.61644365,17.27514006,0.712401248,0.908587258,0.745454545,0.559539969,D0_batch_2_Sample
CODEX_14064,15446.43151,4378.280822,3808.965753,292,20.17329462,18.56433021,0.391347786,0.951140065,0.811111111,-0.434303643,D0_batch_2_Sample
CODEX_14065,14425.96047,820.5465116,3809.42093,860,39.38385936,27.94005625,0.704776801,0.954495006,0.796296296,0.521269226,D0_batch_2_Sample
CODEX_14066,11281.99679,1986.833333,3811.807692,312,20.6328113,19.5414002,0.320929366,0.917647059,0.709090909,0.50057991,D0_batch_2_Sample
CODEX_14067,12002.62394,2590.177966,3812.70339,944,39.56420127,31.20539271,0.614742358,0.92097561,0.694117647,-1.317005949,D0_batch_2_Sample
CODEX_14068,17461.00595,3378.261905,3812.071429,336,22.63353923,19.7718162,0.486711584,0.898395722,0.7,-0.332514442,D0_batch_2_Sample
CODEX_14069,26501.91593,3712.411504,3810.057522,452,26.80782432,21.67485823,0.588458648,0.926229508,0.733766234,1.384702042,D0_batch_2_Sample
CODEX_14070,14043.11055,4438.952261,3812.067839,1592,51.18147383,40.04526215,0.622754708,0.930450029,0.723636364,-0.986600165,D0_batch_2_Sample
CODEX_14071,37074.04371,4733.423077,3810.01049,572,28.45005096,25.73088776,0.426636346,0.936170213,0.785714286,-1.285698137,D0_batch_2_Sample
CODEX_14072,32406.67378,4935.914634,3811.158537,328,20.97279874,20.06364382,0.291237577,0.947976879,0.82,0.579485105,D0_batch_2_Sample
CODEX_14073,10357.24865,5135.418919,3811.321622,740,31.69555573,30.11705362,0.311646857,0.925,0.680147059,1.134173364,D0_batch_2_Sample
CODEX_14074,22279.37585,5893.547619,3811.27551,588,32.4106492,23.3768243,0.692654166,0.9318542,0.765625,1.505698028,D0_batch_2_Sample
CODEX_14075,14618.22449,6615.357143,3810.173469,196,17.1077851,14.75740486,0.50586372,0.960784314,0.875,-1.437170864,D0_batch_2_Sample
CODEX_14076,28348.79087,216.5384615,3813.153846,416,24.00761376,22.34350274,0.36582405,0.945454545,0.722222222,-0.773736681,D0_batch_2_Sample
CODEX_14077,8606.001404,539.1516854,3813.095506,712,34.12944558,27.00922672,0.611329622,0.907006369,0.698039216,-0.37120637,D0_batch_2_Sample
CODEX_14078,16277.2207,1659.070313,3812.8125,1024,47.80813171,27.57473373,0.816900121,0.95255814,0.673684211,0.754271192,D0_batch_2_Sample
CODEX_14079,20122.54271,4526.248744,3811.987437,796,35.04847567,29.12248943,0.556391479,0.963680387,0.829166667,0.521222667,D0_batch_2_Sample
CODEX_14080,33606.48457,4977.759259,3814.87037,324,21.06309195,19.8311234,0.336983492,0.944606414,0.81,1.131205504,D0_batch_2_Sample
CODEX_14081,15248.05,6045.388889,3812.366667,180,16.06697489,14.41115726,0.442146621,0.947368421,0.803571429,1.357741728,D0_batch_2_Sample
CODEX_14082,29911.69231,6575.974359,3810.205128,624,33.72612455,23.8008434,0.708501398,0.920353982,0.705882353,0.189104522,D0_batch_2_Sample
CODEX_14083,24025.49123,727.5877193,3814.429825,228,19.37622835,15.53067841,0.597951097,0.894117647,0.7125,1.267392893,D0_batch_2_Sample
CODEX_14084,19610.71212,1840.863636,3814.439394,132,14.42313287,11.87735212,0.567326113,0.936170213,0.785714286,-0.081997138,D0_batch_2_Sample
CODEX_14085,13008.23116,1912.419598,3814.017588,796,33.98981837,30.58526178,0.436228376,0.935370153,0.780392157,-0.642481961,D0_batch_2_Sample
CODEX_14086,19672.23031,3020.185039,3813.838583,508,26.84785061,24.20369284,0.432751516,0.969465649,0.814102564,1.244242524,D0_batch_2_Sample
